subject,missed_nt,missed_tr,total_reward_nt,total_reward_tr,total_reward,avg_rt1_nt,avg_rt2_nt,avg_rt_nt,avg_rt1_tr,avg_rt2_tr,avg_rt_tr,avg_rt1,avg_rt2,avg_rt
32,0,4,71,63,134,0.289395466666667,0.4369049,0.363150183333333,0.469339864864865,0.563358082191781,0.51602918367347,0.378763825503356,0.499277077702703,0.438817567340067
33,0,0,78,84,162,0.290685266666667,0.4708518,0.380768533333333,0.405857033333333,0.716800133333334,0.561328583333333,0.34827115,0.593825966666667,0.471048558333333
35,0,1,74,67,141,0.37622,0.494866666666667,0.435543333333333,0.284570469798658,0.378355704697987,0.331463087248322,0.330548494983278,0.43680602006689,0.383677257525084
36,0,0,70,72,142,0.2651953,0.391778933333333,0.328487116666667,0.321700633333333,0.4675589,0.394629766666667,0.293447966666667,0.429668916666666,0.361558441666667
37,0,0,87,72,159,0.272795733333333,0.293574633333333,0.283185183333333,0.282671666666667,0.254922066666667,0.268796866666667,0.2777337,0.27424835,0.275991025
38,1,1,61,59,120,0.341503355704698,0.527912751677852,0.434708053691275,0.168853333333333,0.365671140939597,0.266933110367893,0.254889632107024,0.446791946308725,0.350680067001675
39,3,3,84,80,164,0.246743590604027,0.537662448979592,0.391220185810811,0.184735102040816,0.404645952380952,0.294690527210884,0.21594883445946,0.471154200680272,0.343118966101695
40,0,0,81,78,159,0.3521624,0.5192236,0.435692999999999,0.384747533333334,0.547138566666667,0.46594305,0.368454966666667,0.533181083333333,0.450818025000001
41,0,0,75,64,139,0.251120666666667,0.387207333333334,0.319164,0.193612666666667,0.308628,0.251120333333333,0.222366666666667,0.347917666666667,0.285142166666667
42,2,1,70,86,156,0.231417195945946,0.247724560810811,0.239570878378378,0.253888489932886,0.409326409395973,0.33160744966443,0.242690673400673,0.328797542087542,0.285744107744108
43,0,2,100,82,182,0.276118833333333,0.373670066666667,0.32489445,0.386530366666667,0.499308040540541,0.442540755033557,0.3313246,0.436067449664429,0.383520869565217
44,2,4,72,79,151,0.385332366666667,0.42075972972973,0.40292716442953,0.377755641891892,0.272077260273973,0.325275901360544,0.381569429530201,0.346924217687075,0.364363868243243
46,9,2,88,82,170,0.461221891891892,0.79194085106383,0.622576124567474,0.330378766666667,0.674307736486487,0.501189127516778,0.395361258389261,0.731699671280276,0.56095206132879
47,0,1,81,85,166,0.381809166666667,0.257122533333333,0.31946585,0.319622583892617,0.220562583892618,0.270092583892617,0.350819866220736,0.238903695652174,0.294861780936454
48,1,0,83,77,160,0.24919077181208,0.267241140939597,0.258215956375839,0.272320166666667,0.336107033333333,0.3042136,0.260794147157191,0.301789247491639,0.281291697324415
49,0,0,99,68,167,0.2511579,0.376267566666667,0.313712733333333,0.1931292,0.2732487,0.23318895,0.22214355,0.324758133333333,0.273450841666667
50,0,0,88,72,160,0.236826666666667,0.405053333333333,0.32094,0.293313333333333,0.54962,0.421466666666667,0.26507,0.477336666666667,0.371203333333333
51,1,1,68,79,147,0.374326233333333,0.619426577181208,0.496466538461539,0.5442017,0.724207516778524,0.633903595317726,0.459263966666667,0.671817046979866,0.565185066889632
52,0,1,90,74,164,0.4167279,0.570807966666667,0.493767933333334,0.360309161073825,0.469720503355704,0.415014832214765,0.388612876254181,0.520433277591974,0.454523076923077
53,4,3,71,70,141,0.172337837837838,0.156219178082192,0.164333333333333,0.290344594594594,0.333312925170068,0.31175593220339,0.231341216216216,0.245068259385665,0.238169779286927
54,0,0,73,85,158,0.385973333333333,0.429606666666667,0.40779,0.309573333333333,0.371366666666666,0.34047,0.347773333333333,0.400486666666666,0.37413
55,0,1,88,75,163,0.231812933333333,0.344074,0.287943466666667,0.239626833333333,0.450858758389262,0.344889565217391,0.235719883333333,0.397287809364549,0.31636898163606
56,1,4,75,83,158,0.33744966442953,0.461711409395973,0.399580536912752,0.356183673469388,0.423671232876712,0.38981228668942,0.346753378378378,0.442884745762712,0.394737732656514
57,0,0,69,88,157,0.205430966666667,0.286455766666667,0.245943366666667,0.2372808,0.357713066666667,0.297496933333333,0.221355883333333,0.322084416666667,0.27172015
59,0,0,65,95,160,0.4242314,0.558419666666667,0.491325533333333,0.256029433333333,0.468709333333333,0.362369383333333,0.340130416666666,0.5135645,0.426847458333333
60,2,3,59,74,133,0.297984633333333,0.381171891891892,0.339299110738255,0.257493,0.25111425170068,0.254335841750842,0.277738816666667,0.316363508474576,0.29688887394958
61,0,0,94,101,195,0.333851066666667,0.458603433333334,0.39622725,0.275637233333333,0.372361066666667,0.32399915,0.30474415,0.41548225,0.3601132
62,1,1,72,77,149,0.2783869,0.439301677852349,0.358575200668896,0.201950771812081,0.363997382550336,0.282974077181208,0.240296655518395,0.401649530201342,0.320837956448911
64,0,0,66,69,135,0.224326133333333,0.292219133333333,0.258272633333333,0.252838933333333,0.317017666666667,0.2849283,0.238582533333333,0.3046184,0.271600466666667
65,0,0,97,81,178,0.153560866666667,0.1964897,0.175025283333333,0.177284466666667,0.279942233333333,0.22861335,0.165422666666667,0.238215966666667,0.201819316666667
