"sub","condition","group","cond_order","n_com_rew","n_com_unrew","n_rare_rew","n_rare_unrew","p_com_rew","p_com_unrew","p_rare_rew","p_rare_unrew","mb_score","mf_score","age_z"
44,"NT","ED","NTfirst",31,16,14,9,0.5,0.421052631578947,0.518518518518518,0.391304347826087,-0.0482668022713789,0.206161539113484,1.27826587801576
46,"NT","ED","NTfirst",11,1,1,1,0.2,0.0208333333333333,0.0526315789473684,0.0357142857142857,0.162249373433584,0.196083959899749,1.08056797739044
51,"NT","ED","BIDfirst",51,45,17,26,0.944444444444444,0.9,0.944444444444444,0.928571428571429,0.0285714285714286,0.0603174603174602,1.87135957989172
52,"NT","ED","NTfirst",55,37,23,19,0.948275862068966,0.804347826086957,1,0.826086956521739,-0.0299850074962519,0.31784107946027,-0.105619426361471
53,"NT","ED","BIDfirst",57,44,18,15,0.876923076923077,0.897959183673469,0.947368421052632,0.882352941176471,-0.0860515866265534,0.0439793731257684,0.487474275514485
55,"NT","ED","BIDfirst",43,32,17,24,0.914893617021277,0.666666666666667,0.80952380952381,0.705882352941177,0.144585493771977,0.351868406937243,1.87135957989172
56,"NT","ED","NTfirst",47,34,20,19,0.886792452830189,0.723404255319149,0.833333333333333,0.730769230769231,0.0608240949469371,0.265952300075142,0.289776374889166
57,"NT","ED","BIDfirst",41,41,29,12,0.911111111111111,0.732142857142857,0.878787878787879,0.75,0.0501803751803752,0.307756132756133,0.289776374889166
59,"NT","ED","NTfirst",44,44,24,15,0.936170212765957,0.8,0.857142857142857,0.75,0.0290273556231003,0.243313069908815,1.08056797739044
60,"NT","ED","NTfirst",52,54,18,13,0.945454545454545,0.947368421052632,0.857142857142857,0.764705882352941,-0.0943508503880021,0.0905230991918299,0.0920784742638473
62,"NT","ED","NTfirst",59,31,16,14,0.951612903225806,0.704545454545455,0.842105263157895,0.56,-0.0350378144775427,0.529172711838247,-0.501015227612109
64,"NT","ED","BIDfirst",58,37,18,12,0.966666666666667,0.755102040816326,0.9,0.571428571428571,-0.117006802721088,0.540136054421769,-1.29180683011338
68,"NT","ED","BIDfirst",39,31,22,20,0.8125,0.607843137254902,0.88,0.769230769230769,0.0938876319758674,0.315426093514329,-0.105619426361471
69,"NT","ED","BIDfirst",41,44,22,27,0.911111111111111,0.956521739130435,0.785714285714286,0.870967741935484,0.0398428282018745,-0.130664084240522,-0.501015227612109
70,"NT","ED","NTfirst",38,45,22,22,0.863636363636364,0.849056603773585,0.88,0.785714285714286,-0.0797059544229356,0.108865474148493,1.27826587801576
73,"NT","ED","BIDfirst",52,36,28,17,0.962962962962963,0.818181818181818,0.875,0.85,0.119781144781145,0.169781144781144,-0.501015227612109
75,"NT","ED","NTfirst",40,13,20,10,0.625,0.371428571428571,0.769230769230769,0.4,-0.115659340659341,0.622802197802198,-0.501015227612109
77,"NT","ED","BIDfirst",55,40,21,28,0.982142857142857,0.930232558139535,1,0.933333333333333,-0.0147563676633444,0.118576965669989,0.487474275514485
79,"NT","ED","NTfirst",57,18,18,18,0.966101694915254,0.382978723404255,0.9,0.75,0.433122971510999,0.733122971510999,-0.30331732698679
81,"NT","ED","BIDfirst",56,23,14,21,0.949152542372881,0.605263157894737,0.777777777777778,0.6,0.166111606700367,0.521667162255922,-0.896411028862746
82,"NT","ED","BIDfirst",46,41,22,22,0.884615384615385,0.891304347826087,0.916666666666667,0.785714285714286,-0.137641344163083,0.124263417741678,0.487474275514485
2,"NT","HC","NTfirst",48,29,28,18,0.923076923076923,0.659090909090909,0.903225806451613,0.782608695652174,0.143368903186575,0.384603124785453,1.08056797739044
3,"NT","HC","BIDfirst",63,29,19,9,0.940298507462687,0.604166666666667,1,0.5625,-0.10136815920398,0.77363184079602,-0.896411028862746
6,"NT","HC","NTfirst",54,51,17,18,0.981818181818182,0.879310344827586,1,0.9,0.00250783699059565,0.202507836990596,-0.30331732698679
11,"NT","HC","BIDfirst",64,29,15,18,0.914285714285714,0.805555555555556,0.681818181818182,0.818181818181818,0.245093795093795,-0.0276334776334778,-0.501015227612109
12,"NT","HC","BIDfirst",52,34,23,16,0.896551724137931,0.739130434782609,0.884615384615385,0.8,0.0728059047399379,0.242036673970707,1.27826587801576
13,"NT","HC","BIDfirst",77,31,17,12,0.974683544303797,0.775,1,0.857142857142857,0.0568264014466545,0.34254068716094,-0.501015227612109
18,"NT","HC","NTfirst",45,42,27,21,0.9,0.91304347826087,0.870967741935484,0.91304347826087,0.0290322580645161,-0.0551192145862551,0.289776374889166
23,"NT","HC","BIDfirst",40,41,12,14,0.784313725490196,0.683333333333333,0.75,0.608695652173913,-0.0403239556692242,0.24228473998295,-1.29180683011338
25,"NT","HC","BIDfirst",64,31,14,19,0.96969696969697,0.738095238095238,0.875,0.730769230769231,0.0873709623709623,0.375832500832501,-0.30331732698679
26,"NT","HC","BIDfirst",53,38,27,25,0.981481481481482,0.904761904761905,1,0.925925925925926,0.00264550264550267,0.150793650793651,0.0920784742638473
28,"NT","HC","BIDfirst",64,24,11,18,0.927536231884058,0.666666666666667,0.523809523809524,0.75,0.487060041407868,0.0346790890269152,-1.29180683011338
29,"NT","HC","NTfirst",50,40,16,15,0.819672131147541,0.851063829787234,0.666666666666667,0.833333333333333,0.135274968026974,-0.19805836530636,-1.29180683011338
30,"NT","HC","NTfirst",57,27,24,25,0.982758620689655,0.75,0.96,0.806451612903226,0.0792102335928809,0.386307007786429,0.685172176139804
35,"NT","HC","NTfirst",54,29,23,16,0.964285714285714,0.604166666666667,0.92,0.761904761904762,0.202023809523809,0.518214285714286,0.289776374889166
37,"NT","HC","NTfirst",57,25,30,28,0.982758620689655,0.78125,1,0.933333333333333,0.134841954022988,0.268175287356322,-1.4895047307387
40,"NT","HC","BIDfirst",43,16,25,13,0.741379310344828,0.444444444444444,0.78125,0.541666666666667,0.0573515325670498,0.536518199233717,-0.105619426361471
41,"NT","HC","NTfirst",67,36,16,9,0.893333333333333,0.765957446808511,0.941176470588235,0.818181818181818,0.00438123411840563,0.25037053893124,-0.30331732698679
42,"NT","HC","BIDfirst",53,22,13,10,0.868852459016393,0.458333333333333,0.764705882352941,0.416666666666667,0.0624799099967857,0.758558341369334,-1.09410892948807
43,"NT","HC","BIDfirst",58,38,21,20,0.950819672131147,0.904761904761905,0.84,0.909090909090909,0.115148676460152,-0.0230331417216663,-1.4895047307387
47,"NT","HC","NTfirst",31,30,15,11,0.574074074074074,0.6,0.576923076923077,0.55,-0.0528490028490027,0.000997150997151031,-0.501015227612109
48,"NT","HC","BIDfirst",46,41,24,18,0.92,0.803921568627451,0.923076923076923,0.782608695652174,-0.0243897960522002,0.256546658797298,-0.896411028862746
49,"NT","HC","NTfirst",58,27,23,13,0.983050847457627,0.5625,0.92,0.722222222222222,0.222773069679849,0.618328625235405,-0.501015227612109
50,"NT","HC","BIDfirst",56,48,21,19,0.96551724137931,0.941176470588235,1,0.95,-0.0256592292089249,0.0743407707910753,-0.698713128237428
54,"NT","HC","NTfirst",61,45,19,20,0.983870967741935,1,0.95,0.869565217391304,-0.0965638148667601,0.0643057503506311,-1.09410892948807
61,"NT","HC","NTfirst",55,37,18,29,0.964912280701754,0.86046511627907,1,0.90625,0.0106971644226846,0.198197164422685,1.6736616792664
65,"NT","HC","BIDfirst",56,39,21,23,0.96551724137931,0.847826086956522,0.91304347826087,1,0.204647676161919,0.0307346326836582,-0.698713128237428
66,"NT","HC","BIDfirst",51,43,17,23,0.879310344827586,0.914893617021277,0.894736842105263,0.884615384615385,-0.045704729683569,-0.0254618147038118,-1.29180683011338
